Sukunimi;Yhteensä
Kaapola;41
Kaappa;31
Kaappola;138
Kaapro;101
Kaapu;74
Käär;31
Kaarakainen;282
Kaarakka;44
Kaaranen;24
Kaarela;333
Kaarenoja;49
Kaarento;31
Kaaresmaa;25
Kaaresvirta;29
Kaaretkoski;60
Kaari;139
Kaaria;27
Kääriä;384
Kaariaho;23
Kääriäinen;1712
Kaarineva;20
Kaariniemi;30
Kaario;153
Kaariste;25
Kaarivaara;50
Kaarkoski;24
Kaarla;72
Kaarlampi;27
Kaarlas;22
Kaarlejärvi;134
Kaarlela;437
Kaarlenkaski;96
Kaarlonen;52
Kaarmila;32
Kaarna;241
Kaarnakoski;36
Kaarnalehto;30
Kaarne;54
Kaarni;29
Kaarniemi;34
Kaarninen;40
Kaaro;76
Kaaronen;25
Kaarre;390
Kaarretkoski;20
Kaarteenaho;37
Kaartinen;1706
Kaarto;250
Kaartoaho;47
Kaartokallio;58
Kaartosalmi;22
Kaartovuori;20
Kaartti;71
Kaarttinen;30
Kaas;62
Kaasalainen;935
Kaasik;27
Kaasila;73
Kaasinen;1014
Kaastinen;31
Kaataja;78
Kaatiala;26
Kaatonen;26
Kaatrakoski;25
Kaatranen;41
Kaatrasalo;96
Kaattari;258
Kaavi;20
Kabanen;32
Käck;60
Käcko;37
Kackur;66
Kadenius;113
Kader;25
Kadir;36
Kae;20
Käenmäki;37
Käenniemi;21
Kaerla;20
Kahala;47
Kahanpää;35
Kähärä;590
Kahari;92
Kähäri;318
Kahela;23
Kahelin;447
Kahi;23
Kahie;50
Kahila;549
Kahilainen;150
Kahilakoski;54
Kahilaluoma;22
Kahilampi;36
Kahiluoto;53
Kähkölä;180
Kähkönen;3200
Kåhlman;33
Kahlos;119
Kahma;51
Kähö;56
Kähönen;356
Kahra;142
Kåhre;21
Kahri;140
Kähtävä;146
Kaidesoja;35
Kaihari;20
Kaiharju;24
Kaihlamäki;30
Kaihlanen;87
Kaihlaniemi;31
Kaihlavirta;25
Kaiho;20
Kaihola;84
Kaihoniemi;35
Kaihovaara;48
Kaihovirta;41
Kaihua;174
Kaija;357
Kaijala;137
Kaijalainen;145
Kaijanen;231
Kaijankoski;73
Kaijanmäki;35
Kaijanniemi;49
Kaijansaari;20
Kaijansinkko;185
Kaijanto;32
Kaijärvi;22
Kaijasilta;24
Kaijomaa;81
Kaikko;193
Kaikkonen;2551
Kaiku;41
Kaikula;29
Kaikuranta;50
Kaila;532
Kailajärvi;57
Kailanto;40
Kailasto;31
Kailasuo;23
Kailio;100
Kaimio;35
Kainberg;25
Kainiemi;68
Kainlauri;114
Kainomaa;24
Kainu;242
Kainua;65
Kainulainen;3482
Kaipainen;1278
Kaipanen;84
Kaipia;172
Kaipiainen;396
Kaipila;51
Kaipio;320
Kaipomäki;53
Kaiponen;257
Kaira;83
Kairajärvi;27
Kairala;63
Kairamo;58
Kairavuo;34
Kairenius;75
Kairi;33
Kairikko;33
Kairimo;23
Kairinen;44
Kairisto;26
Kairo;23
Kairtamo;29
Kairus;37
Kaisalmi;20
Kaisamatti;73
Kaisanlahti;186
Kaiser;69
Kaisko;102
Kaisla;232
Kaislaniemi;36
Kaislaranta;23
Kaislasuo;40
Kaistamaa;20
Kaistamo;31
Kaisti;55
Kaistila;76
Kaistinen;161
Kaisto;362
Kaita;80
Kaitainen;135
Kaitajärvi;113
Kaitala;218
Kaitamäki;27
Kaitanen;105
Kaitaniemi;49
Kaitaranta;74
Kaitera;76
Kaitfors;26
Kaitila;252
Kaitokari;22
Kaitola;20
Kaitosaari;21
Kaitosalmi;29
Kaituri;38
Kaivanto;79
Käiväräinen;83
Kaivokallio;22
Kaivola;600
Kaivolahti;26
Kaivolainen;44
Kaivoluoto;22
Kaivonen;189
Kaivonurmi;62
Kaivo-oja;89
Kaivorinne;38
Kaivos;49
Kaivosaari;27
Kaivosoja;137
Kajaala;32
Kajaan;49
Kajaani;23
Kajakoski;28
Kajala;205
Kajalainen;27
Kajamaa;21
Kajan;254
Kaján;29
Kajander;944
Kajanen;23
Kajanki;29
Kajanne;106
Kajanoja;25
Kajanto;59
Kajantola;29
Kajanus;150
Kajas;53
Kajaste;103
Kajastie;22
Kajasto;23
Kajasviita;32
Kajatsalo;23
Kajaus;71
Kajava;441
Kajavalta;21
Kajo;51
Kajosaari;43
Kajosmäki;38
Kajova;35
Kajula;125
Kajuutti;61
Käkelä;746
Käkelä-Petäys;23
Kaketti;40
Käki;341
Käkilehto;42
Kakkinen;156
Kakko;1341
Kakkola;62
Kakkonen;576
Kakkori;39
Kakkuri;225
Käkönen;247
Käkränen;27
Kakriainen;141
Kaksonen;469
Kala;31
Kåla;81
Kalaja;98
Kalajainen;70
Kalajanniska;38
Kalajo;23
Kalajoki;57
Kalakoski;29
Kalalahti;30
Kalander;100
Kalanen;53
Kalaniemi;42
Kalanti;40
Kalaoja;119
Kalapudas;77
Kalasniemi;72
Kalatie;47
Kalavainen;106
Kalberg;32
Käld;166
Käldman;39
Käldström;45
Kalela;46
Kalén;21
Kalenius;431
Kalermo;28
Kalervo;78
Kaleton;36
Kaleva;537
Kalevo;82
Kalho;58
Kalijärvi;107
Kalilainen;93
Kalima;58
Kalin;119
Kalinainen;94
Kalinen;72
Kalinko;28
Kaliste;34
Kaljonen;20
Kaljunen;250
Kälkäinen;119
Kälkäjä;347
Kalkan;20
Kalkas;25
Kalke;73
Kalkela;39
Kalkkila;25
Kalkkinen;47
Kalkku;27
Kåll;73
Kalla;78
Kallaanvaara;30
Kalland;22
Kallankari;59
Kallantie;21
Kallanto;20
Kallas;84
Kallasmaa;28
Kallatsa;125
Kallava;20
Källbacka;27
Kallberg;97
Källberg;73
Kallela;206
Kallenautio;31
Kalli;159
Källi;107
Kalliainen;82
Kalliala;123
Kallijärvi;81
Kallila;23
Kallin;20
Kallinen;993
Kallinki;57
Kallinkoski;27
Kallio;9914
Kallioaho;37
Kallioinen;833
Kalliojärvi;173
Kalliokangas;24
Kallio-Kokko;50
Kallio-Könnö;31
Kalliokorpi;68
Kalliokoski;2089
Kallio-Kujala;56
Kalliokulju;60
Kalliokuusi;64
Kalliola;503
Kalliolahti;56
Kalliolepo;36
Kalliolevo;47
Kalliolinna;22
Kalliomaa;258
Kalliomäki;1596
Kallio-Mannila;30
Kallionalusta;37
Kallioniemi;930
Kallionkieli;49
Kallionpää;458
Kallionsivu;62
Kalliopohja;28
Kalliopuska;48
Kallioranta;104
Kalliorinne;58
Kalliosaari;254
Kalliosalmi;37
Kalliosalo;110
Kalliovaara;60
Kallioväli;24
Kalliovalkama;27
Kallis;30
Kalliskota;21
Källman;124
Kallo;156
Kallojärvi;57
Kallonen;495
Källroos;30
Kallström;68
Källström;96
Kallunki;783
Kalm;75
Kalmanlehto;25
Kalmari;283
Kalmi;145
Kalmu;30
Kalo;24
Kaloinen;51
Kalola;25
Kalpa;31
Kalpala;25
Kalpio;316
Kalsi;97
Kalska;21
Kalske;137
Kalso;68
Kalsola;26
Kalsta;40
Kaltakari;51
Kalteinen;25
Kalteva;44
Kaltiainen;230
Kaltiaisenaho;35
Kaltiala;32
Kaltio;116
Kaltiokumpu;42
Kaltiola;31
Kaltti;51
Kaltto;59
Kalttonen;49
Kälvälä;28
Kalvas;23
Kälvi;20
Kälviä;36
Kälviäinen;241
Kälvinmäki;29
Kämä;35
Kamaja;46
Kamal;33
Kämäläinen;82
Kamara;27
Kämärä;46
Kämäräinen;2312
Kämäri;124
Kamau;26
Kamb;29
Kamberi;21
Kämi;30
Kamil;23
Kamila;152
Kaminen;93
Kammonen;440
Kamotskin;33
Kämpe;117
Kampman;202
Kamppari;61
Kamppi;152
Kämppi;429
Kamppikoski;37
Kamppila;121
Kamppinen;237
Kamppuri;149
Kamsula;96
Kamula;519
Kamunen;370
Kamutta;36
Känä;38
Kanala;99
Kanamäki;34
Kananen;1596
Kananoja;134
Kanasuo;37
Kanckos;59
Kandel;21
Kandelberg;31
Kandelin;101
Kandell;70
Kandén;25
Kandolin;85
Kanerva;2903
Kanervala;62
Kanervamäki;35
Kanervavuori;20
Kanervio;26
Kanervisto;130
Kanervo;574
Kangas;5876
Kangasaho;210
Kangasalusta;24
Kangashaka;26
Kangasharju;171
Kangas-Hynnilä;29
Kangasjärvelä;33
Kangasjärvi;105
Kangas-Kärki;22
Kangaskokko;48
Kangaskolkka;110
Kangas-Korhonen;26
Kangaskorte;80
Kangaskortet;24
Kangaskoski;100
Kangaslahti;26
Kangaslampi;47
Kangasluoma;358
Kangasmaa;189
Kangasmäki;397
Kangasmetsä;39
Kangasmuukko;25
Kangasniemi;1481
Kangasoja;100
Kangasperko;111
Kangaspunta;99
Kangaspusu;34
Kangasrääsiö;20
Kangassalo;191
Kangastalo;71
Kangastie;165
Kangastupa;79
Kangasvieri;227
Kangosjärvi;126
Kankaala;279
Kankaanmäki;36
Kankaanniemi;46
Kankaanpää;2716
Kankaanperä;54
Kankaanranta;305
Kankaanrinta;24
Kankaansivu;75
Kankaansyrjä;80
Kankainen;782
Kankaisto;50
Kankala;64
Kankanen;23
Känkänen;250
Kankare;868
Kankaristo;67
Kankaro;24
Kankeri;23
Kankfelt;24
Kankilampi;31
Kankimäki;39
Kankkio;28
Kankkonen;311
Kankkunen;1324
Kanko;72
Kankuri;36
Kannala;65
Kannari;22
Kannas;103
Kannasmaa;28
Kannasoja;50
Kannasto;52
Kannel;46
Kannela;36
Kannelniemi;31
Kanniainen;882
Kanniala;76
Kanninen;630
Känninen;49
Kannisto;1161
Kännö;22
Kannonlahti;45
Kannonmaa;46
Kannosto;154
Kannus;58
Kannusmäki;70
Kannussaari;22
Kanon;28
Kansa;46
Känsäkangas;181
Känsäkoski;190
Kansala;49
Känsälä;295
Kansanaho;161
Kansanen;190
Kansanniva;82
Kansanoja;96
Kansikas;150
Kansonen;89
Kanste;22
Kant;58
Kantala;99
Kantalainen;39
Kantanen;748
Kantee;48
Kantele;105
Kantelinen;218
Kantell;53
Kantelus;46
Kanth;69
Kantinkoski;48
Kanto;573
Kantojärvi;145
Kantokari;23
Kantokorpi;32
Kantokoski;51
Kantola;3088
Kantolainen;20
Kantoluoto;217
Kantomaa;113
Kantomäki;28
Kantonen;789
Kantoniemi;170
Kantosalo;32
Kants;43
Kantti;71
Kanula;41
Kapanen;1020
Kapela;29
Kaperi;57
Kapiainen;189
Kaplan;26
Kaplas;236
Kaplin;25
Kaponen;52
Kapp;24
Käppi;377
Kapraali;42
Kaprali;21
Kaprio;37
Kaptens;24
Kapulainen;131
Kapustamäki;27
Käpyaho;121
Käpylä;247
Käpynen;108
Kara;261
Karabulut;22
Karaiste;27
Käräjähonka;23
Käräjämäki;29
Käräjämies;58
Käräjäoja;175
Karakas;26
Karakaya;22
Karakorpi;30
Karaksela;22
Karala;30
Karalahti;20
Karamäki;20
Karanen;59
Karanka;33
Karanko;73
Karanta;55
Karapalo;51
Karapuu;23
Karas;32
Karasjärvi;20
Karasti;149
Karaus;44
Kärävä;42
Karavirta;29
Karbin;57
Kare;108
Kareinen;556
Kareisto;22
Karejoki;31
Karekivi;49
Karelius;52
Karell;327
Karen;42
Karén;253
Kärenaho;56
Karenius;88
Kärenlampi;130
Kares;92
Karesti;27
Karesto;40
Karetie;27
Karevaara;91
Karf;27
Kärhä;226
Karhapää;552
Karhatsu;46
Karhe;46
Karhi;88
Karhiaho;44
Karhila;88
Karhinen;319
Karhiniemi;25
Karhio;22
Karhu;4818
Karhukorpi;110
Karhula;752
Karhulahti;197
Karhumaa;589
Karhumäki;141
Karhunen;2329
Karhuniemi;27
Karhunmaa;47
Karhusaari;99
Karhuvaara;29
Kari;2180
Kariaho;44
Karihtala;124
Karikallio;20
Karikko;93
Karikorpi;27
Karikoski;151
Kari-Koskinen;28
Karikumpu;38
Karila;318
Karilahti;115
Karilainen;177
Kariluoma;74
Kariluoto;107
Karim;94
Karimaa;70
Karimäki;192
Karimerto;21
Karimi;81
Karimies;32
Karimo;70
Karine;36
Karinen;406
Kariniemi;439
Karinkanta;151
Karinsalo;20
Karinti;20
Kario;33
Karioja;113
Kariola;45
Karisaari;44
Karisalmi;118
Karislahti;22
Karisola;26
Karisto;164
Kariuki;28
Karivuo;34
Karja;29
Kärjä;130
Karjala;309
Karjalahti;76
Karjalainen;12206
Karjaluoto;150
Karjanlahti;185
Karjanmaa;98
Karjarinta;26
Karjula;433
Karjunen;240
Kärkäinen;44
Karkama;24
Karkamo;22
Kärkäs;254
Karkaus;28
Kärkelä;84
Karki;32
Kärki;2599
Karkia;70
Karkiainen;92
Kärkimaa;31
Karkinen;57
Kärkinen;276
Karkio;23
Kärkkäinen;7124
Kärkkänen;44
Karkkola;122
Karkkonen;101
Karkkulainen;82
Karkman;30
Karkola;27
Kärkölä;42
Karkulahti;179
Karkulehto;93
Karlå;28
Karlakari;25
Karlberg;121
Karlén;50
Karlenius;35
Karlgren;22
Karlin;58
Karling;89
Karlman;47
Karlqvist;56
Karlsen;31
Karlson;41
Karlsson;5668
Karlstedt;149
Karlsten;21
Karlström;310
Karlund;35
Karma;48
Karmakka;28
Karmala;85
Karme;20
Kärmeniemi;114
Karmitsa;42
Kärnä;1412
Karnaattu;92
Karnaranta;29
Karne;21
Karo;62
Karola;55
Karomäki;23
Karonen;655
Karos;22
Karosto;21
Karosvuo;22
Karp;140
Kärpälä;20
Karpale;27
Kärpänen;125
Kärpänoja;33
Karpansalo;28
Karpeeki;22
Karpenko;23
Kärpijoki;67
Karpio;25
Karpiola;38
Karpoff;54
Karpola;20
Karpov;55
Karpova;31
Karppa;41
Kärppä;247
Karppanen;933
Karppelin;114
Karppi;556
Karppila;70
Karppinen;6211
Kärr;37
Karra;70
Karras;25
Karri;90
Kärri;76
Karro;33
Karru;59
Kärsämä;148
Kärsämänoja;25
Karsi;21
Karsikas;571
Karsikko;82
Karsimus;25
Karsio;21
Karsisto;29
Karsten;90
Karstikko;26
Karstila;78
Karstinen;47
Karstu;38
Karstunen;60
Kartal;20
Kartano;284
Kartaslammi;33
Kartastenpää;39
Kartela;34
Kartesalo;35
Karti;24
Kartimo;46
Kartio;22
Karttiala;24
Karttila;61
Karttimo;24
Karttinen;37
Karttunen;3652
Karu;33
Karuaho;35
Karukka;55
Karukoski;24
Karumaa;56
Karumo;42
Karunen;21
Karuranta;22
Karusalmi;28
Karuvaara;26
Karvala;56
Karvali;41
Karvanen;321
Karvinen;2811
Karvo;251
Karvola;36
Karvonen;4811
Karvosenoja;84
Kasa;51
Kasakkamäki;33
Kasala;51
Kasanen;345
Kasanko;43
Kasari;168
Kaseva;192
Kasi;82
Kasila;51
Kasittula;29
Kask;31
Kaske;24
Kaskela;317
Kaskenviita;41
Kaski;922
Kaskia;35
Kaskilahti;51
Kaskimäki;44
Kaskimies;39
Kaskinen;714
Kaskisto;28
Kaslin;38
Käsmä;243
Käsnänen;146
Kasongo;25
Kasper;148
Kaspersson;22
Kass;55
Kassala;21
Kassem;39
Kässi;53
Kassila;39
Kassimäki;28
Kassinen;113
Kasslin;52
Kastari;100
Kastarinen;119
Kaste;65
Kastell;67
Kastelli;68
Kastemaa;25
Kastepohja;36
Kastikainen;144
Kastinen;208
Kastman;32
Kastrati;39
Kastrén;32
Kastu;25
Kastus;30
Kasurinen;934
Kasvi;92
Kasvinen;47
Kata;29
Kataikko;107
Kataila;20
Katainen;1085
Kataisto;56
Kataja;1499
Kataja-aho;59
Katajainen;269
Katajala;250
Katajalaakso;26
Katajalehto;39
Katajamaa;106
Katajamäki;1359
Kataja-Rahko;24
Katajarinne;33
Katajavuori;63
Katajisto;991
Katalkin;39
Katara;74
Katas;26
Katava;63
Katavisto;117
Kätevä;20
Katila;612
Katiska;127
Katisko;102
Kätkä;63
Katko;32
Kätkytniemi;30
Katoperä;23
Kattainen;237
Kattelus;643
Katter;38
Kattilakoski;388
Kattilamäki;33
Katto;36
Kättö;53
Katunpää;28
Katvala;54
Katz;74
Kaufmann;25
Kauha;31
Kauhajärvi;42
Kauhala;43
Kauhanen;2039
Kauhaniemi;43
Kauhava;28
Kaukainen;29
Kaukamo;29
Kaukanen;122
Kaukiainen;313
Kaukinen;383
Kaukkila;84
Kaukko;49
Kauko;302
Kaukojärvi;38
Kaukokari;35
Kaukola;340
Kaukolahti;32
Kaukolampi;26
Kaukolinna;40
Kaukomaa;39
Kaukometsä;30
Kaukonen;1327
Kaukoniemi;71
Kaukoranta;357
Kaukorinne;22
Kaukosuo;23
Kaukotie;30
Kaukovalta;106
Kaukovuori;26
Kaukua;175
Kaulamo;22
Kaulanen;61
Kaulio;103
Kauma;51
Kauneela;23
Kaunela;65
Kaunio;31
Kaunisaho;43
Kaunisharju;76
Kauniskangas;74
Kaunismaa;98
Kaunismäki;450
Kaunissaari;22
Kaunisto;1329
Kaunisvaara;62
Kaunisvesi;59
Kaunisvirta;21
Kauno;55
Kaunola;32
Kaunonen;124
Kaupinmäki;21
Kaupinsalo;39
Kauppala;134
Kauppi;2082
Kauppila;2566
Kauppinen;7635
Kaupponen;23
Kaur;155
Kaura;209
Kaura-aho;50
Kaurahalme;55
Kaurala;212
Kauramaa;23
Kauramäki;93
Kauranen;1132
Kauraniemi;43
Kauranne;54
Kauraoja;47
Kauremaa;27
Kaurén;21
Kauri;25
Kauria;138
Kauriinoja;26
Kaurila;97
Kaurinkoski;28
Kaurio;52
Kauris;24
Kauro;36
Kaurola;43
Kaurtola;42
Kausalainen;20
Kause;101
Kauste;45
Kaustinen;230
Kauti;67
Kautiainen;292
Kautiala;35
Kautio;24
Kautonen;552
Kautovaara;24
Kautovuori;22
Kauttio;104
Kautto;1664
Kauttonen;65
Kauttu;100
Kauvo;39
Kauvosaari;75
Kava;28
Kavaja;22
Kavakka;43
Kavalto;22
Kavaluus;27
Kavander;248
Kavasto;56
Kaven;51
Kavén;211
Kavenius;40
Kaveri;63
Kaverinen;59
Kavilo;39
Kavonius;136
Kay;21
Kaya;125
Käyhkö;934
Käyhty;176
Käyrä;110
Kazi;22
Kebede;22
Kecklund;37
Keckman;138
Kedonperä;48
Kehä;20
Kehänen;30
Kehus;97
Kehusmaa;370
Keidas;23
Keihänen;77
Keihäs;189
Keihäskoski;56
Keihäsniemi;31
Keihtä;53
Keijama;23
Keijonen;168
Keikkala;37
Keikko;25
Keikkonen;46
Keimiöniemi;20
Keinänen;2539
Keino;77
Keinonen;653
Keipi;63
Keipilä;23
Keisa;31
Keisala;498
Keisalo;22
Keisanen;129
Keiski;141
Keistinen;28
Keisu;187
Keitaanniemi;51
Keitaanpää;34
Keitaanranta;67
Keituri;166
Kejonen;268
Kekäläinen;1340
Kekäle;162
Kekälinen;38
Kekarainen;170
Kekki;1126
Kekkinen;28
Kekko;26
Kekkonen;1836
Keko;44
Kekola;163
Kekolahti;64
Kekomäki;35
Kekonen;60
Kekoni;89
Kela;1035
Kelahaara;161
Kelander;95
Kelaranta;27
Kelavuori;40
Kelhä;92
Kelhälä;29
Kelho;42
Kelin;34
Kelja;33
Keljo;71
Kelkka;258
Kella;26
Kellari;31
Kellberg;91
Keller;67
Kellgren;26
Kellin;21
Kellinsalmi;48
Kellman;65
Kellokangas;67
Kellokoski;454
Kellokumpu;327
Kellola;56
Kellolampi;28
Kellomäki;83
Kelloniemi;430
Kellosaari;164
Kellosalo;70
Kelly;68
Kelmendi;65
Kelo;112
Kelokaski;43
Kelonen;22
Keloneva;43
Kelottijärvi;45
Kelppe;27
Keltakangas;39
Keltamäki;117
Keltanen;190
Keltaniemi;31
Keltikangas;64
Keltti;45
Keltto;121
Kemell;137
Kemi;301
Kemilä;157
Kemiläinen;340
Keminen;21
Kemmo;56
Kemola;31
Kempas;354
Kempe;94
Kempi;20
Kemppaala;21
Kemppainen;7644
Kemppanen;31
Kemppe;49
Kemppi;1136
Kemppilä;23
Kemppinen;1012
Kenakkala;62
Kenias;27
Kenkkilä;61
Kennedy;39
Kenni;25
Kennilä;20
Kenola;29
Kenraali;26
Kent;31
Kentala;165
Kentta;138
Kenttä;303
Kenttälä;398
Kenttämaa;140
Kenttämies;72
Kepanen;20
Keppo;117
Keppola;57
Kepponen;43
Kepsu;46
Kerajärvi;20
Kerälä;99
Keränen;5854
Kerätär;21
Kerava;22
Keravuo;24
Keravuori;53
Kerbs;21
Kerimaa;35
Kerkelä;255
Kerkkä;34
Kerkkänen;168
Kerkkonen;49
Kerko;58
Kerkola;54
Kerman;241
Kerminen;348
Kernen;27
Kero;625
Kerokoski;74
Kerola;467
Keronen;593
Kerosuo;29
Kerppola;27
Kerttula;588
Kerttunen;35
Kervinen;1324
Kervola;49
Kesä;22
Kesälä;224
Kesälahti;170
Kesäläinen;256
Kesämaa;29
Kesänen;266
Kesäniemi;156
Kesanto;26
Kesävaara;20
Keskevaari;31
Keskiaho;103
Keski-Filppula;20
Keskihannu;30
Keski-Hannula;26
Keski-Heikkilä;39
Keski-Jaskari;23
Keski-Jyrä;51
Keskikallio;143
Keski-Karhu;20
Keskikastari;54
Keskikiikonen;31
Keski-Korhonen;48
Keski-Korpela;30
Keski-Korpi;117
Keski-Korsu;34
Keski-Koukkari;38
Keski-Kuha;32
Keskikuru;58
Keskikylä;52
Keskilä;75
Keskilammi;39
Keski-Levijoki;33
Keski-Loppi;22
Keski-Luopa;22
Keski-Lusa;27
Keskimaa;49
Keskimäinen;23
Keskimäki;256
Keskimaula;38
Keskimaunu;40
Keskimölö;30
Keskinarkaus;125
Keskinen;3314
Keski-Nikkola;34
Keski-Nisula;60
Keskiniva;99
Keski-Oja;40
Keski-Ojala;27
Keski-Opas;25
Keski-Orvola;29
Keski-Petäjä;58
Keskipoikela;53
Keski-Pukkila;36
Keski-Rahkonen;42
Keski-Rauska;27
Keskiruusi;23
Keskisaari;122
Keski-Saari;67
Keskisalo;41
Keski-Säntti;40
Keskisarja;134
Keskisärkkä;32
Keski-Sikkilä;31
Keskisimonen;23
Keskisipilä;52
Keskitalo;2204
Keskitapio;21
Keski-Vähälä;31
Keski-Vakkuri;21
Keskiväli;65
Keski-Valkama;36
Keskivinkka;37
Keskumäki;23
Keso;151
Kesola;54
Kesonen;200
Kess;37
Kessel;23
Kesseli;268
Kesti;1123
Kestikievari;37
Kestilä;423
Kestinmäki;52
Ketamo;31
Ketelä;81
Ketelimäki;55
Ketko;39
Keto;775
Ketoja;110
Ketokoski;50
Ketola;3609
Ketolainen;354
Ketomäki;235
Ketonen;1538
Ketoniemi;28
Keto-oja;37
Ketopaikka;66
Keto-Tokoi;97
Kettinen;143
Kettu;145
Kettukangas;109
Kettula;320
Kettula-Pihlaja;21
Kettumäki;76
Kettunen;7857
Keturi;75
Ketvell;46
Keula;20
Keurulainen;256
Keva;38
Keväänranta;97
Kevarinmäki;20
Keveri;52
Kevin;126
Kevo;20
Keyriläinen;87
Khalaf;21
Khalid;30
Khalif;26
Khalifa;34
Khalil;79
Khalili;35
Khan;436
Khanal;25
Kharel;69
Khawaja;24
Khezri;29
Kiander;92
Kianen;20
Kiansten;26
Kianta;29
Kianto;39
Kidron;34
Kiehelä;36
Kiekara;60
Kieksi;99
Kiela;32
Kielenniva;51
Kieleväinen;57
Kielinen;86
Kielo;49
Kieloaho;68
Kieloniemi;26
Kielosto;23
Kiema;253
Kiemunki;44
Kieränen;31
Kierikka;60
Kiero;76
Kiesi;165
Kiesilä;121
Kiesiläinen;75
Kieslich;20
Kietäväinen;98
Kietz;20
Kievari;21
Kievimaa;20
Kihl;32
Kihlakaski;56
Kihlberg;25
Kihlman;99
Kihlstedt;35
Kihlström;160
Kihniä;29
Kiho;59
Kiiala;93
Kiianen;44
Kiianlinna;27
Kiianmies;34
Kiias;23
Kiijärvi;23
Kiikeri;107
Kiikka;170
Kiikkala;42
Kiikkerä;24
Kiikkilä;23
Kiikko;25
Kiikola;23
Kiikonen;29
Kiilakoski;58
Kiilamaa;28
Kiilavuori;21
Kiilholma;29
Kiili;433
Kiiliäinen;58
Kiilo;20
Kiiltomäki;80
Kiilunen;114
Kiimala;31
Kiimalainen;130
Kiimamaa;40
Kiintonen;29
Kiippa;41
Kiira;36
Kiirikki;58
Kiiski;1900
Kiiskilä;455
Kiiskinen;2021
Kiisseli;33
Kiistala;65
Kiivanen;39
Kiiveri;636
Kilappa;48
Kilgast;51
Kilinç;20
Kiljain;28
Kiljala;100
Kiljander;166
Kiljo;32
Kiljunen;744
Kilkki;289
Kilkkilä;40
Kilkkinen;21
Kilkku;48
Killinen;59
Killström;104
Kilo;28
Kilpala;53
Kilpelä;224
Kilpeläinen;2764
Kilpelänaho;75
Kilpi;624
Kilpiä;212
Kilpiäinen;154
Kilpijärvi;135
Kilpijoki;37
Kilpikoski;44
Kilpimaa;112
Kilpinen;1255
Kilpiö;361
Kilpivaara;111
Kilponen;698
Kilpua;37
Kiltti;27
Kilvensalmi;20
Kim;73
Kima;27
Kimari;183
Kiminki;251
Kiminkinen;67
Kimmo;82
Kimonen;78
Kimpanpää;57
Kimpimäki;250
Kimppa;34
Kinanen;174
Kinaret;59
Kindberg;23
Kindstedt;50
Kindt;44
King;158
Kingelin;113
Kinisjärvi;136
Kinisselkä;21
Kinkki;20
Kinnala;56
Kinnanen;34
Kinnari;823
Kinnarinen;146
Kinnaslampi;55
Kinni;105
Kinnula;186
Kinnunen;13857
Kinos;170
Kinturi;23
Kipinä;173
Kipinoinen;149
Kippilä;88
Kippo;206
Kippola;221
Kipponen;30
Kiprianoff;60
Kiramo;26
Kirchner;20
Kiri;177
Kiriloff;25
Kirilov;20
Kirjalainen;160
Kirjanen;96
Kirjasniemi;20
Kirjava;59
Kirjavainen;1168
Kirjokivi;32
Kirjola;34
Kirjonen;447
Kirk;36
Kirkanen;44
Kirkinen;86
Kirkkala;74
Kirkko-Jaakkola;24
Kirkkola;33
Kirkkomäki;119
Kirkkopelto;46
Kirkonpelto;21
Kirmanen;185
Kirmo;26
Kirppu;77
Kirpu;40
Kirra;23
Kirri;27
Kirsi;133
Kirsilä;181
Kirssi;28
Kirstilä;34
Kirstinä;84
Kirstua;46
Kirveennummi;27
Kirvelä;43
Kirves;309
Kirveskari;30
Kirveskoski;60
Kirveslahti;28
Kirvesmäki;249
Kirvesmies;35
Kirvesniemi;170
Kirvesoja;101
Kiseleva;23
Kisko;24
Kiskola;65
Kiskonen;103
Kisonen;67
Kiss;30
Kitinoja;169
Kitinprami;53
Kitkala;34
Kitola;27
Kittelä;76
Kitti;182
Kittilä;405
Kitula;73
Kitunen;228
Kituniemi;28
Kitusuo;25
Kiukainen;29
Kiukas;425
Kiukkonen;284
Kiuru;2202
Kiuttu;227
Kivakka;26
Kivari;113
Kiveinen;28
Kivekäs;438
Kivelä;4422
Kivenjuuri;50
Kivenmäki;58
Kiverä;20
Kivero;47
Kivi;1220
Kiviahde;140
Kiviaho;532
Kivialho;25
Kivihalme;30
Kiviharju;734
Kiviholma;26
Kivihuhta;30
Kivijakola;57
Kivijärvi;509
Kivikangas;298
Kivikari;96
Kivikko;233
Kivikoski;390
Kivikytö;25
Kivilä;217
Kivilaakso;77
Kivilähde;59
Kivilahti;613
Kivilammi;20
Kivilehto;87
Kivilinna;49
Kivilompolo;246
Kiviluoma;456
Kiviluoto;290
Kivimaa;227
Kivimäki;3288
Kivimurto;31
Kivinen;2644
Kivineva;104
Kivini;55
Kiviniemi;2864
Kiviniitty;208
Kivinummi;45
Kiviö;76
Kivioja;1596
Kivipelto;205
Kivipensas;39
Kiviperä;29
Kivipuro;119
Kiviranta;1223
Kivirasi;45
Kivirauma;41
Kivirinne;40
Kivirinta;204
Kiviruusu;22
Kivisaari;236
Kivisalmi;48
Kivisalo;139
Kivisilta;58
Kivisoja;36
Kivistö;2924
Kivistö-Rahnasto;47
Kivitie;25
Kivivirta;42
Kivivuori;233
Kjäll;56
Kjällman;25
Kjeldsen;34
Kjelin;21
